imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.039229914903288206, 0.004645282576903734, -0.040543871545827136, 9.05118507834016e-08, -0.003045016120733615, -2.9724588374788373e-05, 3.401153066356815e-05, -1.0052804313584156e-06, 5.433088770855599e-05, -9.905952270468206e-07, 4605000000, 
-0.06202523614493328, -0.019405656998865078, -0.04887637039533103, -1.566166041878242e-08, -0.00314743999810573, 4.975999678535033e-06, 4.080394880407571e-05, -1.0055872665196654e-06, 5.4457308919147137e-05, -9.902794122700942e-07, 4649000000, 
-0.03333957845133702, -0.004655301135790299, -0.04273388160530939, -3.2118577279662326e-08, -0.003636039756221407, 8.83339551629109e-06, 2.93321900654149e-05, -1.0055794565864329e-06, 5.5024181595301744e-05, -9.895050166783798e-07, 4714000000, 
-0.06627537066757987, -0.0033545971258983126, -0.051865841037830804, -3.422184157239387e-08, -0.0033457843259020632, 1.0228346551646676e-05, 5.779544305642637e-05, -1.0056332488893559e-06, 5.5908466232830494e-05, -9.887217737614952e-07, 4749000000, 
-0.03313369448546709, -0.005845190203315409, -0.0445273937070174, -3.536409928177675e-08, -0.0025335338037704947, 1.3958408302721934e-05, 7.837069099845497e-05, -1.005738669117187e-06, 5.696858218767147e-05, -9.87882276315869e-07, 4769000000, 
-0.07072130340332627, -0.01038470901162542, -0.05465702151357216, -7.666186756432836e-08, -0.00406420493327057, 1.8862697335155436e-05, 9.101857917705416e-05, -1.0058888621724796e-06, 5.9065440231485656e-05, -9.86632531179228e-07, 4849000000, 
-0.04794353917009055, 0.014106604197479423, -0.051983479085442146, 3.691391897442738e-08, -0.003401288067892431, -1.085292343300421e-05, 0.00011834261562370504, -1.0055884121793254e-06, 5.9806869319477084e-05, -9.860984027635793e-07, 4879000000, 
-0.09381599830307921, -0.00021230287241124789, -0.06826630565246558, 2.1237789585562496e-08, -0.003348367990486571, -6.342728650466017e-06, 0.00015306633524909957, -1.0056534046919106e-06, 6.0223182665012445e-05, -9.857686588478988e-07, 4909000000, 
-0.04678082095663802, 0.014117321460033527, -0.059846435150970226, 6.743101023970735e-08, -0.003015785507640405, -2.2359352171722042e-05, 0.00016162720957620677, -1.0054542686027282e-06, 6.0282110713629884e-05, -9.85640949529887e-07, 4936000000, 
-0.03784849410643015, -0.012148630765345244, -0.051228613033954956, -1.6366564520203824e-09, -0.0027843161051367606, 5.878127303868009e-07, 0.00015847996698176614, -1.005621220610213e-06, 5.998797490839223e-05, -9.855896620931227e-07, 4966000000, 
-0.06030256471162109, 0.01406618431445545, -0.05468752351203506, 6.025370644311971e-08, -0.004001173758641792, -1.5059007700673557e-05, 0.00015029334474918194, -1.005408470076757e-06, 5.8631548391906994e-05, -9.856581209755673e-07, 5036000000, 
-0.007472411125094974, -0.013090055130451052, -0.0362162750213437, -3.36163690830652e-08, -0.003016199650080846, 1.1145273185799936e-05, 0.0001475489229759223, -1.0056564013876468e-06, 5.777370470663625e-05, -9.858737315780429e-07, 5066000000, 
-0.06082408626461994, 0.03602224427732231, -0.04580690359749519, 7.353621086557229e-08, -0.0020573532180719347, -3.574311412334307e-05, 0.00019257271825175087, -1.0053000895314951e-06, 5.693740241257238e-05, -9.85965378893638e-07, 5071000000, 
-0.02431958779221886, -0.005964518777010187, -0.037404006632181165, 3.156158529864843e-08, -0.0018466122758895912, -1.7091614580242017e-05, 0.00018540906423154666, -1.005366073606068e-06, 5.624489806234286e-05, -9.860527770724468e-07, 5096000000, 
-0.049814230763227135, 0.02407024756417917, -0.0422354840551765, 4.575618597526097e-08, -0.0016439665418253968, -2.7832796356338902e-05, 0.00018852484761390276, -1.0052885291360273e-06, 5.578865406706521e-05, -9.86099746848465e-07, 5116000000, 
-0.06277648599261046, -0.01543426207025751, -0.05018898672275886, 2.2418594997834762e-08, -0.0031600595609684702, -7.0943583705631445e-06, 0.0002021045730891433, -1.0053750594406435e-06, 5.560908833608321e-05, -9.860668136361687e-07, 5190000000, 
-0.07498087528182351, 0.04369256966518067, -0.059791622691181386, 2.17847737086198e-07, -0.0037418034377333506, -5.821998421653124e-05, 0.00021393409710563022, -1.0047833642303624e-06, 5.571078875573459e-05, -9.861232304184668e-07, 5240000000, 
-0.05390004634879829, 0.026888729611056907, -0.05744450384432049, 2.4768703931624136e-07, -0.0033140117334586475, -7.473933686340463e-05, 0.00023347363988623785, -1.0043314307579244e-06, 5.60657865898352e-05, -9.860176070583222e-07, 5270000000, 
-0.06816902920811181, -0.021316587154866375, -0.06158705651076565, 5.829879305178618e-08, -0.0032504042660706665, -1.7935859136150517e-05, 0.00024622177444621335, -1.0045776485789804e-06, 5.662099384727372e-05, -9.858237418413953e-07, 5303000000, 
-0.05124706423045107, 0.021482523240830127, -0.05746712629534131, 1.604481474093438e-07, -0.004206691635680314, -3.814117156780754e-05, 0.00024197371649461967, -1.0039785280180432e-06, 5.72972628270988e-05, -9.857518633825727e-07, 5366000000, 
-0.08147607760516791, -0.0062836812802981225, -0.06674843435687719, 5.913469477288908e-08, -0.004584239685175081, -1.289956434087076e-05, 0.000252224522776819, -1.003954233989431e-06, 5.86001039837884e-05, -9.855986981820023e-07, 5416000000, 
-0.04456625710827439, -0.0040721685153423766, -0.058021597657963955, 2.3601733446951612e-09, -0.004186037662345196, -5.638203798130406e-07, 0.00025777496002362397, -1.0040128760328265e-06, 5.904614722692918e-05, -9.855856765878121e-07, 5456000000, 
-0.09495866834586225, -0.048219580628165636, -0.07237442529911825, -3.2880868537468517e-07, -0.004191951602446141, 7.84380919815044e-05, 0.00028093080551588087, -1.0055409472392433e-06, 5.9299989154718253e-05, -9.85721635019809e-07, 5493000000, 
-0.09684612328584796, -0.004354301026744943, -0.08188857652772824, -1.9706187588541658e-07, -0.0035891568671475994, 5.490478214791069e-05, 0.00032065776480923685, -1.0058759827347919e-06, 5.932016263936095e-05, -9.8585429794337e-07, 5513000000, 
-0.053416810321630634, -0.023913609641882525, -0.07065276217760896, -3.743518440516833e-07, -0.005595640662712266, 6.690062257683126e-05, 0.00032919553426138097, -1.0065425939182187e-06, 5.877010664030293e-05, -9.864181331730855e-07, 5589000000, 
-0.06923837604947904, -0.0034804789694609073, -0.07003628411748354, -2.182787225424687e-07, -0.004519503673609196, 4.829705611637553e-05, 0.00036647224777121447, -1.0071728837020288e-06, 5.827845924415503e-05, -9.867582070386945e-07, 5615000000, 
-0.06445468904788217, 0.0065032791954713455, -0.0678325268467346, -5.7230027244097606e-08, -0.0032008664180144947, 1.7879542526987906e-05, 0.00040794421827531285, -1.0072461020216023e-06, 5.7729952478569956e-05, -9.8709888626441e-07, 5626000000, 
-0.06318110049585096, 0.015518919479292114, -0.06593447781319484, 3.896209721847726e-08, -0.004544621638205072, -8.573232343686504e-06, 0.00039644714134915755, -1.0071685538231727e-06, 5.720373506609209e-05, -9.87428894438942e-07, 5690000000, 
-0.06663180680918314, -0.02270526796906344, -0.0661285732576524, -1.5898197205669445e-07, -0.004544382513690926, 3.498428479066786e-05, 0.00039243256076631095, -1.0079829735906038e-06, 5.6767483748523566e-05, -9.87672939443802e-07, 5734000000, 
